pick,team,note
1,Chicago White Sox,won the 2026 draft lottery
2,Tampa Bay Rays,
3,Minnesota Twins,
4,San Francisco Giants,
5,Pittsburgh Pirates,
6,Kansas City Royals,
7,Baltimore Orioles,
8,Athletics,
9,Atlanta Braves,
10,Colorado Rockies,
11,Washington Nationals,
12,Los Angeles Angels,
13,St. Louis Cardinals,
14,Miami Marlins,
15,Arizona Diamondbacks,
16,Texas Rangers,
17,Houston Astros,
18,Cincinnati Reds,
19,Cleveland Guardians,
20,Boston Red Sox,
21,San Diego Padres,
22,Detroit Tigers,
23,Chicago Cubs,
24,Seattle Mariners,
25,Milwaukee Brewers,
26,Atlanta Braves,"Prospect Promotion Incentive (Drake Baldwin, NL ROY)"
27,New York Mets,moved back for exceeding the top CBT threshold
28,Houston Astros,"Prospect Promotion Incentive (Hunter Brown, top-3 Cy Young)"
29,San Francisco Giants,Competitive Balance Round A (acquired from Cleveland)
30,Kansas City Royals,Competitive Balance Round A
31,Arizona Diamondbacks,Competitive Balance Round A
32,St. Louis Cardinals,Competitive Balance Round A
33,Tampa Bay Rays,Competitive Balance Round A (acquired from Baltimore)
34,Pittsburgh Pirates,Competitive Balance Round A
35,New York Yankees,moved back for exceeding the top CBT threshold
36,Philadelphia Phillies,moved back for exceeding the top CBT threshold
37,Colorado Rockies,Competitive Balance Round A
